identifier_defect,Measurement_DateTime,square,ring,crack,bright_crack,hotspot,gridline_darkening,near_busbar,shattered
20220126_111716_SHELL_M55_6330431490,2022-01-26 11:17:16,0.9884792,0.0026149366199999997,0.05315134591666667,0.006750017446111111,0.02759967077675,0.0009794996575,0.0025121459133333334,0.00020497096569444445
20220126_111944_SHELL_M55_6320427227,2022-01-26 11:19:44,0.9934200105555556,0.0019018857500000001,0.07089340027777778,0.007136169597222222,0.0136849504525,0.001054984981111111,0.0021450791280555556,0.0001867465773888889
20220126_112145_SHELL_M55_6320427665,2022-01-26 11:21:45,0.9889807186111111,0.002231965979166667,0.05067827141666667,0.008013604757222223,0.02878848743363889,0.0009630611719444444,0.0026315971052777777,0.00017946432119444444
20220126_112347_SHELL_M55_6330431028,2022-01-26 11:23:47,0.9915200991666667,0.002230835037777778,0.058703361611111116,0.0065175933972222225,0.018991785191,0.0009877599208333334,0.0023029148091666665,0.0001843565787777778
20220126_112514_SHELL_M55_6320427316,2022-01-26 11:25:14,0.9936023891666667,0.0026220927,0.05071658438888889,0.007074615133333333,0.004078826558611111,0.0010029340508333334,0.0014286043436111111,0.00019188190305555555
20220126_112708_SHELL_M55_6320427664,2022-01-26 11:27:08,0.9948386522222221,0.0022181244994444443,0.055395946555555554,0.0097702356675,0.018896928056666665,0.0009987548066666668,0.001877112571111111,0.00019035910541666666
20220126_112845_SHELL_M55_6330431058,2022-01-26 11:28:45,0.9906176766666667,0.00555352678888889,0.038433356083333335,0.008280424863888889,0.015940231070944444,0.0012780466783333334,0.0025431130366666667,0.00018733111683333334
20220126_113013_SHELL_M55_6320427722,2022-01-26 11:30:13,0.9889701597222221,0.0024186359555555554,0.053294177194444445,0.008953985619444445,0.028629529797916664,0.001143869016388889,0.0040456124925,0.00022660245705555558
20220126_113229_SHELL_M55_6320427333,2022-01-26 11:32:29,0.9922011294444444,0.002089873542777778,0.035281498555555554,0.0059129111055555555,0.02027178046158333,0.0007340947391666667,0.0014751813808333333,0.00011660171133333335
20220126_113429_SHELL_M55_6330431269,2022-01-26 11:34:29,0.9887456236111112,0.0023181266991666666,0.05113183541666667,0.005735898257222222,0.02842790905333333,0.0010333253700000001,0.003381657651388889,0.0002071136036111111
20220126_113607_SHELL_M55_6320427392,2022-01-26 11:36:07,0.9892186225,0.002066702051111111,0.04105512777777778,0.008317824425,0.026380187281416664,0.0009495025222222222,0.001926409516388889,0.00021261437452777776
20220126_113809_SHELL_M55_6320427549,2022-01-26 11:38:09,0.9891318652777777,0.0020990452794444445,0.057070903180555556,0.008548837084722222,0.030517430574027775,0.0009923410530555555,0.001967025615,0.00020046773222222222
20220126_113959_SHELL_M55_6320427445,2022-01-26 11:39:59,0.9919659605555555,0.0018045552116666666,0.05738049616666666,0.0074013123416666665,0.02368905028377778,0.000976480033611111,0.002391774514722222,0.00018210950780555554
20220126_114207_SHELL_M55_6330431033,2022-01-26 11:42:07,0.9869965416666666,0.0022961595258333333,0.05289515602777778,0.006319350754444444,0.02736919631727778,0.0010233679491666668,0.002447164593611111,0.00019771270013888888
20220126_114347_SHELL_M55_6330431036,2022-01-26 11:43:47,0.987564758888889,0.0022384813233333333,0.05318794159444444,0.005799374618888889,0.029623611435694443,0.0009796148522222222,0.0028207760230555554,0.00016691320863888889
20220126_114548_SHELL_M55_6330430951,2022-01-26 11:45:48,0.9895368827777777,0.002006806061111111,0.047139628777777776,0.00689163415,0.029225887840972225,0.0010057686447222222,0.00228255805,0.00017337488016666667
20220126_114729_SHELL_M55_6320427403,2022-01-26 11:47:29,0.9894699280555554,0.0033662062794444446,0.04117497997222222,0.009232339445555555,0.027468988801305556,0.0010481660180555556,0.001772004242222222,0.00021201295166666667
20220126_114915_SHELL_M55_6320427721,2022-01-26 11:49:15,0.9894443513888889,0.0021599862047222223,0.05025803319444445,0.007169200363888888,0.028328927095416664,0.0011850346183333333,0.0032298181900000003,0.0002359094046111111
20220126_115046_SHELL_M55_6330431024,2022-01-26 11:50:46,0.9899161638888889,0.0017883204669444444,0.05164943825,0.007691251086111111,0.022376312647055554,0.0008992790608333333,0.0013356892055555554,0.00019844927055555556
20220126_115220_SHELL_M55_6330431018,2022-01-26 11:52:20,0.9927509263888888,0.002548814063888889,0.05139935733333333,0.007726093280555556,0.023777794374000003,0.0009674009619444444,0.0016907280358333333,0.00019801096527777778
20220126_115418_SHELL_M55_6330431271,2022-01-26 11:54:18,0.9868983299999999,0.002544784248333333,0.05575754783333334,0.006273386392777778,0.028186526555277775,0.0011852805947222224,0.0031617912591666666,0.00018079112524999998
20220126_115551_SHELL_M55_6330431482,2022-01-26 11:55:51,0.9882445325,0.0038819375138888887,0.0513056675,0.006644583258333333,0.02597981718638889,0.0011107086275,0.003013898596388889,0.0002230402188888889
20220126_115737_SHELL_M55_6320427802,2022-01-26 11:57:37,0.9889036972222223,0.003827298013888889,0.05294241275,0.010661094525,0.014332280431055555,0.0013955466138888888,0.0027868354955555555,0.0002328287497222222
20220126_115904_SHELL_M55_6330431484,2022-01-26 11:59:04,0.9906664855555556,0.002423477941666667,0.05283611027777778,0.00715194209861111,0.02627467365027778,0.0009429363805555555,0.0019820214602777777,0.0001891907959722222
20220126_120042_SHELL_M55_6320427218,2022-01-26 12:00:42,0.9944769658333333,0.002405387158611111,0.058513698027777776,0.008202307369444444,0.016244003727777775,0.0010453767825000001,0.00147788494,0.00022613916722222225
20220126_120229_SHELL_M55_6330430950,2022-01-26 12:02:29,0.9897516886111111,0.003950360063888889,0.05722205152777778,0.01070779156388889,0.013247960494833334,0.0014349385444444444,0.002234286706944444,0.00026252322222222225
20220126_120422_SHELL_M55_6320427804,2022-01-26 12:04:22,0.9896663561111111,0.0034990431130555552,0.06335424180555554,0.008168303008333332,0.017814806919722224,0.0014546003508333334,0.0023714813400000003,0.00020784334705555555
20220126_120640_SHELL_M55_6320427668,2022-01-26 12:06:40,0.9856653688888889,0.0016907150875,0.06176626088888889,0.007643358588888889,0.03975034972902777,0.001166853358888889,0.0022153083700000003,0.00017895062430555556
20220126_120812_SHELL_M55_6320427258,2022-01-26 12:08:12,0.9877292258333333,0.0018392937627777777,0.03872090263888889,0.008002405558888889,0.032842781864083334,0.0007667202938888888,0.0018044451169444444,0.0001594086715833333
20220126_121008_SHELL_M55_6330431284,2022-01-26 12:10:08,0.9899444547222223,0.002614506040277778,0.05944623594444444,0.006935269577777778,0.026376399010833333,0.0009952911036111112,0.002048876823611111,0.00018887360319444444
20220126_121129_SHELL_M55_6320427433,2022-01-26 12:11:29,0.9902034227777777,0.002880816035,0.052393157555555556,0.007228190977777777,0.022371452272666667,0.0010079572275,0.0016333509308333336,0.00017765669358333334
20220126_121256_SHELL_M55_6320427793,2022-01-26 12:12:56,0.9895512366666667,0.003930447378611111,0.05016556080555556,0.008340760455555556,0.024063289775972222,0.0010959889763888888,0.003605221053888889,0.00021621444816666667
20220131_155549_SHELL_M55_6330431027,2022-01-31 15:55:49,0.9871237236111112,0.0025204391155555558,0.04955441179444445,0.008627432710277778,0.030321097660722225,0.000972267175,0.002077702266388889,0.00022217766694444447
20220131_155853_SHELL_M55_6320427224,2022-01-31 15:58:53,0.9818117438888889,0.003815588311111111,0.04152244867777778,0.009931858075833334,0.036905491405277775,0.0011855198405555556,0.0031288303061111113,0.00026240363916666667
20220131_160607_SHELL_M55_6320427427,2022-01-31 16:06:07,0.9741208136111111,0.002499263958611111,0.03890421949166667,0.00694812247888889,0.05503765197291667,0.0008800284647222222,0.0012662885244444444,0.00015519884744444443
20220131_161157_SHELL_M55_6320427397,2022-01-31 16:11:57,0.9821372369444445,0.0034057598491666666,0.03815852340277778,0.011276924026666668,0.030069524232055556,0.0015132792616666666,0.0018689849036111112,0.00027276294636111113
20220131_161558_SHELL_M55_6330431022,2022-01-31 16:15:58,0.9766977680555556,0.004625118138888888,0.052570496833333334,0.00939268484638889,0.041110567609583336,0.0013692577152777778,0.0018789184191666665,0.00023647285416666667
